periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,HPV Positive for abnormal results,HPV screened,HPV screened and received results,LLETZ treated,Pap Smear Positive for abnormal results,Pap smear screened,Pap smear screened and LLETZ post treatment complication,Pap smear screened and received results,Pap smear screened and treated,Pap smear screening results,Thermoablation treated,"Total positive for abnormal results (VIA, Pap smear and HPV)","Total screened (VIA, Pap smear and HPV)","Total screened and received results (VIA, Pap smear and HPV)",VIA Positive for abnormal results,VIA result suspected cancer,VIA screened,VIA screened and LLETZ post treatment complication,VIA screened and Thermo post treatment complication,VIA screened and received results,VIA screened and treated
202503,March 2025,202503,,ZGn3jYwsny5,Omusati Region,,,,,,327,9,140,,62,4,37,270,9,322,244,20,1,182,,,182,15
202503,March 2025,202503,,A3TNsiR1dh5,Omuthiya District,,,,,,,,7,,1,,1,,,9,3,,,2,,,2,
202503,March 2025,202503,,RTeFLiIQbw6,Onandjokwe District,,,,,,1,,,,,,,,,38,38,3,,38,,,38,1
202503,March 2025,202503,,dOdJP21SD9O,Opuwo District,,,,,,,3,9,,6,,3,27,3,29,26,1,,20,,,20,
202503,March 2025,202503,,vxVCU3Gg2O7,Oranjemund District,,Oranjemund District,,,,,,,,,,,,,,,,,,,,,
202503,March 2025,202503,,fGEgF3PkXvq,Oshakati District,,,,,,1811,4,89,,19,3,5,108,4,230,160,22,,141,,,141,10
202503,March 2025,202503,,b9HMqeI8JEo,Oshana Region,,,,,,1811,4,89,,19,3,5,108,4,230,160,22,,141,,,141,10
202503,March 2025,202503,,qxZHCIcFGGI,Oshikoto Region,,,,,,1,,7,,1,,1,,,47,41,3,,40,,,40,1
202503,March 2025,202503,,qUvunSjZohO,Oshikuku District,,,,,,,,52,,24,,14,,,77,49,,,25,,,25,2
202503,March 2025,202503,,OZpQSwHeL07,Otjiwarongo District,,,,,,,,,,,,,,,,,,,,,,,
202503,March 2025,202503,,lOB86duziYC,Otjozondjupa Region,,,,,,27,2,9,,6,,2,,2,25,22,6,1,16,,,16,4
202503,March 2025,202503,,kvoY0kknTC4,Outapi District,,,,,,109,4,54,,11,,5,108,4,156,113,14,1,102,,,102,9
202503,March 2025,202503,,nBGDrsjRfLw,Outjo District,,,,,,27,,4,,4,,1,,,21,21,2,,17,,,17,2
202503,March 2025,202503,,pTuejLrN4sm,Rehoboth District,,,,,,2,,15,,1,,,,,41,27,4,,26,,,26,11
202503,March 2025,202503,,wMIC5fKYst9,Rundu District,,,,,,,,,,,,,,,,,,,,,,,2
202503,March 2025,202503,,Ep5roMtNesc,Swakopmund District,,,,,,,,10,,,,,81,,81,71,11,,71,,,71,
202503,March 2025,202503,,QH5y5NkOxfc,Tsandi District,,,,,,191,5,23,,22,4,14,162,5,73,72,6,,50,,,50,4
202503,March 2025,202503,,PvX6HjANIMR,Tsumeb District,,,,,,,,,,,,,,,,,,,,,,,
202503,March 2025,202503,,tbFjsqAACE8,Usakos District,,,,,,,,8,,,,,81,,45,37,5,,37,,,37,5
202503,March 2025,202503,,E9sSue8msED,Walvis Bay District,,,,,,4,,10,,10,1,10,,,24,24,3,,14,,,14,7
202503,March 2025,202503,,OPZrTAb9fdW,Windhoek District,,,,,,243,,39,,1,,1,162,,218,176,12,1,179,,,175,11
202503,March 2025,202503,,ICVofXXkxdc,Zambezi Region,,,,,,,,21,,1,,1,27,,145,125,5,,124,,,124,
